Position,Connected On
"Executive Vice President  & Global Delivery Head - H&I,  Global Head ATM Business",16-May-20
Business Intelligence Analyst,16-May-20
Senior Associate - Analytics,15-May-20
Summer Intern,15-May-20
Transfer Pricing Analyst,15-May-20
Co-Founder & Chief Technology Officer,15-May-20
IIEC-Python Success Head,15-May-20
,14-May-20
Senior Data Scientist,14-May-20
Teaching Assistant,14-May-20
Chief Executive Officer,14-May-20
,14-May-20
,14-May-20
Machine Learning Engineer,14-May-20
Senior Campaign Manager (Media Account Specialist),13-May-20
AI Engineer,13-May-20
AWS Certified Solutions Architect Associate & AWS Certified Developer Associate,13-May-20
Internshala student partner (ISP) 18,13-May-20
,13-May-20
Intern,13-May-20
Business Development Intern,13-May-20
Assistant Product Manager,13-May-20
Assistant Manager - Customer Success,13-May-20
Software Engineer,13-May-20
Machine Learning Engineer/ Data Scientist,12-May-20
Head Of Project Management,12-May-20
Intern,12-May-20
,12-May-20
Manager,12-May-20
Software Engineer,12-May-20
Senior Executive Member,11-May-20
Data Analyst,11-May-20
Lead physical design engineer,11-May-20
,11-May-20
,11-May-20
Analytics Consultant,11-May-20
Director,11-May-20
Data Analyst - Global Compensation Rewards,11-May-20
,11-May-20
Software Engineer,11-May-20
Treasurer,11-May-20
,10-May-20
Software Engineer,10-May-20
Google Analytics Individual Qualification ,10-May-20
CEO & Founder,10-May-20
Head of Events,10-May-20
Team Coordinator,10-May-20
,10-May-20
,10-May-20
,10-May-20
designing,10-May-20
Director,10-May-20
Data Scientist,10-May-20
,10-May-20
Content & Innovation Lead,10-May-20
Principal Scientist,10-May-20
Associate,10-May-20
"Data Scientist, Project Manager",10-May-20
Data Scientist,10-May-20
Project Trainee,10-May-20
Data Scientist,10-May-20
,10-May-20
Machine Learning Specialist,09-May-20
Student,09-May-20
,09-May-20
Senior specialist,09-May-20
Intern,09-May-20
Computer Vision/ Deep Learning Engineer,09-May-20
junior data scientist,09-May-20
,09-May-20
Internshala Student Partner,09-May-20
Site Reliability Engineering intern,09-May-20
Software Developer Intern,09-May-20
Google Ads,09-May-20
Strategy and Operations ,09-May-20
Campus Bussiness Manager,09-May-20
Chief of Design (Social Media Marketing),09-May-20
Oracle Application Developer,09-May-20
KarunyaHacks,09-May-20
Data Science Intern,09-May-20
Flutter Intern,09-May-20
Business Development Analyst,09-May-20
DSC Member IIIT Allahabad,09-May-20
Web Developer,09-May-20
Consultant Data ,09-May-20
,08-May-20
Marketing Lead - Startegic Initiatives,08-May-20
Python and Deep Learning Associate,08-May-20
Co-Founder and CEO,08-May-20
Senior Software Developer,08-May-20
Founder and CEO,08-May-20
Business Analyst,08-May-20
Trainee - AI & ML,08-May-20
Intern,08-May-20
Associate Software Engineer,08-May-20
Konsultan Freelance Analisis Data,08-May-20
Summer Intern,08-May-20
Founder,08-May-20
Student,08-May-20
Student,08-May-20
Assistant Professor,08-May-20
Campus Ambassador,08-May-20
Data Product Manager - DigitalCognition --- Entrepreneur | Self Employed  ,08-May-20
,08-May-20
Machine Learning Engineer,08-May-20
Associate Analyst,08-May-20
Engineering Student,08-May-20
ABAP Development Intern,08-May-20
Product Development Intern,07-May-20
Software Engineer II,07-May-20
Senior Associate - Risk Advisory,07-May-20
Junior Researcher,07-May-20
Software Engineer,07-May-20
Governer at Souls for Solace Society,07-May-20
,07-May-20
400 Club Member,07-May-20
Assistant System Engineer,07-May-20
Machine Learning Engineer,07-May-20
,07-May-20
Machine Learning Intern,07-May-20
Summer Intern,07-May-20
Data Scientist,07-May-20
Data Analyst,07-May-20
Software Engineer 2 ,07-May-20
Software Engineer,07-May-20
DSC Lead,07-May-20
,07-May-20
Intern,07-May-20
Software Engineer (RPA Developer Uipath),07-May-20
Co-Founder,07-May-20
,07-May-20
Technical Consultant,07-May-20
Open Source Developer,07-May-20
Software Engineer,07-May-20
Data Scientist,07-May-20
"Senior Business Analyst, Commercial Excellence ",06-May-20
Wellness Coach,06-May-20
Member,06-May-20
Marketing Team member,06-May-20
Node.js Developer,06-May-20
Software Engineer /Analyst,06-May-20
Data science internship,06-May-20
Assistant Professor,06-May-20
Machine Learning Engineer,06-May-20
Associate Software Engineer,06-May-20
International Business Development,06-May-20
Online Teaching Assistant,06-May-20
Campus Ninja,06-May-20
Tech Consulting Intern (Virtual),06-May-20
Student,06-May-20
Technical Content Writer,06-May-20
Web Developer,06-May-20
Back End Developer,06-May-20
Associate Analyst,06-May-20
Network Data Analyst,06-May-20
Freelancer,06-May-20
Associate Data Science,06-May-20
Student,06-May-20
Data Scientist,06-May-20
Associate Software Engineer,06-May-20
,06-May-20
,06-May-20
,06-May-20
Artificial Intelligence Engineer,06-May-20
,06-May-20
Google Explore ML Facilitator,05-May-20
Senior Analyst,05-May-20
Associate Data Scientist,05-May-20
Head of Property & Specialty UW,05-May-20
,05-May-20
Data Science Intern,05-May-20
,05-May-20
,05-May-20
Mean Stack Developer,05-May-20
,05-May-20
Founder,05-May-20
Data Analysis Intern,04-May-20
Advisory System Analyst,04-May-20
Machine Learning Engineer,04-May-20
,04-May-20
Software Development Engineer II,04-May-20
Senior Data Scientist,04-May-20
PM2,04-May-20
Managing Director,04-May-20
Founder,04-May-20
Data Scientist,04-May-20
Matket Data Analyst,04-May-20
Microsoft Student Ambassador,04-May-20
Google DSC Lead,03-May-20
Campus Ambassador,03-May-20
Data Scientist II,03-May-20
,03-May-20
Senior Manager,03-May-20
Senior Member of Technical Staff,03-May-20
,03-May-20
Data Science Intern,03-May-20
Software Development Engineer II,03-May-20
Quantitative Analyst Trainee,03-May-20
Software En,03-May-20
Analyst,03-May-20
Software Developer,03-May-20
Data Analyst Intern,03-May-20
BI Developer,03-May-20
Founder,03-May-20
"Leading R&D, Sr. Data Scientist & Manager (Analytics) ",03-May-20
Assembly Process Engineer,02-May-20
,02-May-20
sr physiotherapist,02-May-20
Machine Learning Engineer,02-May-20
Junior ML Engineer,02-May-20
SW/App/Cloud Tech Support Associate,02-May-20
,02-May-20
Lead Software Engineer,02-May-20
Data Scientist,02-May-20
,02-May-20
Founder,02-May-20
Artificial Intelligence Developer - Data Scientist,02-May-20
Trainee,02-May-20
O&M Data Analyst Intern,02-May-20
,02-May-20
,02-May-20
Co-Founder & CEO,02-May-20
Intern - Machine Learning,02-May-20
Software Engineer,02-May-20
Co-founder & CEO,01-May-20
Data Science Intern,01-May-20
Co-Founder,01-May-20
Senior Analyst,01-May-20
Full Stack Developer,01-May-20
Microsoft Student Partner,01-May-20
Reactjs Developer,01-May-20
Business Intelligence Developer,01-May-20
Support Engineer,30-Apr-20
,30-Apr-20
Business Technology Analyst,30-Apr-20
"Business Analyst, Insights & Analytics Team, IFRS9",30-Apr-20
Software Engineer,30-Apr-20
Student,30-Apr-20
,30-Apr-20
Founder&CEO,29-Apr-20
Marketing Intern,29-Apr-20
 Finance Coordinator,28-Apr-20
Analyst,28-Apr-20
Decision scientist,28-Apr-20
Intern,28-Apr-20
Operations Intern,28-Apr-20
Strategic Partnerships Manager,28-Apr-20
Web Developer,27-Apr-20
Software Engineer,27-Apr-20
,27-Apr-20
Human Resources Executive,27-Apr-20
Summer Intern,27-Apr-20
Cloud Solution Architect,26-Apr-20
,26-Apr-20
Freelance,26-Apr-20
Professional Athlete,26-Apr-20
Talent Acquisition at BNYMELLON,25-Apr-20
Campus Ambassador,25-Apr-20
Senior Staff Engineer/Manager,25-Apr-20
,24-Apr-20
,24-Apr-20
Research Engineer - Qualcomm AI Research,24-Apr-20
Consultant ,24-Apr-20
Mentor,24-Apr-20
Student,24-Apr-20
Founder,24-Apr-20
Senior Software Engineer,24-Apr-20
Data Scientist,24-Apr-20
Data Analyst,24-Apr-20
Co-Creator,24-Apr-20
System Engineering Intern,24-Apr-20
Data Science Intern,24-Apr-20
Co-Founder,24-Apr-20
,24-Apr-20
Summer Intern,24-Apr-20
Core Member,24-Apr-20
,23-Apr-20
Subject Expert,23-Apr-20
Software Development Engineer III,23-Apr-20
Summer Internship,23-Apr-20
Co-Founder and CTO,23-Apr-20
Intern,23-Apr-20
Data Scientist,23-Apr-20
,23-Apr-20
Founder,23-Apr-20
Machine Learning Intern,23-Apr-20
Product Manager,23-Apr-20
Assistant Professor,22-Apr-20
Software Engineer,22-Apr-20
Директор по продукту,22-Apr-20
Academic operations lead,22-Apr-20
Machine Learning A-Z: Hands on Python amd R in Data Science,22-Apr-20
Artificial Intelligence Engineer,22-Apr-20
Technical Member,22-Apr-20
Software Engineer,22-Apr-20
Senior Data Scientist (Deep Learning / Computer Vision),22-Apr-20
Campus Ambassador,21-Apr-20
Y Combinator Startup School,21-Apr-20
Chapter Manager,21-Apr-20
"Chief Executive Officer (CEO), Managing Director (Board Member), and AI Chief",21-Apr-20
,21-Apr-20
Student,20-Apr-20
Pricing Analyst,20-Apr-20
,20-Apr-20
Systems Engineer,20-Apr-20
Clinical Pharmacist - Intern,20-Apr-20
ML / AI / Deep Learning / NLP / ASR Recruiter,20-Apr-20
,20-Apr-20
Data Engineer II,20-Apr-20
,20-Apr-20
Research Scientist,20-Apr-20
Python Developer,20-Apr-20
Chief Technology Officer,20-Apr-20
,20-Apr-20
Data Scientist,20-Apr-20
Data Scientist,19-Apr-20
Data Science & Business Analytics,19-Apr-20
Undergraduate Intern,19-Apr-20
Technology Analyst,19-Apr-20
Mentee,19-Apr-20
,19-Apr-20
Competitive Programmer,19-Apr-20
GET,19-Apr-20
Research Intern,19-Apr-20
Flutter and Backend System Developer,19-Apr-20
internship,19-Apr-20
Winner,19-Apr-20
Recruitment Sourcing Specialist,19-Apr-20
,19-Apr-20
,19-Apr-20
,19-Apr-20
,19-Apr-20
,19-Apr-20
,19-Apr-20
,19-Apr-20
Deputy Manager,18-Apr-20
,18-Apr-20
Human Resources Manager,18-Apr-20
,18-Apr-20
Student,18-Apr-20
Associate Software Developer Engineer,18-Apr-20
"Chief Investment Officer, Head of AI",18-Apr-20
,17-Apr-20
,17-Apr-20
AI Research Engineer,17-Apr-20
Programmer Analyst,17-Apr-20
Designer,17-Apr-20
Data Science Intern,17-Apr-20
Associate Application Developer,16-Apr-20
Author,16-Apr-20
Associate Consultant,16-Apr-20
Technical Program Manager,16-Apr-20
Member,16-Apr-20
Machine Learning Engineer,16-Apr-20
Machine Learning Intern,16-Apr-20
Intern,15-Apr-20
Member,15-Apr-20
Founder,15-Apr-20
Senior Data Scientist,14-Apr-20
Managing consultant,14-Apr-20
Recruiter @ Nvidia,14-Apr-20
Chief Data Scientist,13-Apr-20
,13-Apr-20
Frontend Web Developer,13-Apr-20
,13-Apr-20
Founder at STARMINT MEDIA ,13-Apr-20
Product Manager,13-Apr-20
Assistant Vice President,13-Apr-20
"Technical Recruiter - Engineering Managers, Software Engineers and Test Engineers",13-Apr-20
Research And Development Intern (Deep Learning),13-Apr-20
Software Engineering Virtual Experience,13-Apr-20
Student Mentor,13-Apr-20
,13-Apr-20
"Senior Strategist, Payments, Abuse & Risk Analytics",12-Apr-20
Machine Learning Intern,12-Apr-20
"Manager, Data Science",12-Apr-20
Supply Chain & Operations Intern,12-Apr-20
Senior Data Analyst,12-Apr-20
Machine Learning Engineer/Data scientist,12-Apr-20
Software Engineer,12-Apr-20
"Data Analyst, Trust and Safety",12-Apr-20
Software Engineer III,12-Apr-20
MTS-2,12-Apr-20
Associate,12-Apr-20
Software Engineer 1,12-Apr-20
SDE Intern,12-Apr-20
Deal Solutions and Strategy Specialist,12-Apr-20
Team Lead- Data Science- Risk Analytics,12-Apr-20
Product Software Developer(ML Engineer),12-Apr-20
Computer Science Student,12-Apr-20
Mentor,12-Apr-20
Senior Data Scientist - Retail and Emerging Tech,12-Apr-20
Application Engineer,12-Apr-20
Data Science Research Intern,11-Apr-20
Senior Machine Learning Engineer,11-Apr-20
International Marketing Executive,11-Apr-20
Python Developer,11-Apr-20
Web Developer,11-Apr-20
Computer Vision and NLP Intern,11-Apr-20
AI Scientist & Product Developer – Trainee,11-Apr-20
Sr QA Engineer,11-Apr-20
Student,11-Apr-20
,10-Apr-20
,10-Apr-20
Wissenschaftliche Hilfskraft,10-Apr-20
,10-Apr-20
"Product Marketing Manager, AI & Deep Learning",10-Apr-20
Head of Performance Marketing - Hotels (MMT & GoIbibo),10-Apr-20
Machine Learning Researcher,10-Apr-20
Senior Data Engineer,10-Apr-20
Senior Project Associate,10-Apr-20
Software Development Engineer 2,10-Apr-20
Vice Chair,09-Apr-20
Junior ML Engineer,09-Apr-20
YLI National Wave 12 Awardee by McKinsey & Company,09-Apr-20
 Software Engineer,09-Apr-20
Senior Data Analyst,09-Apr-20
Lead Engineer,09-Apr-20
Data Scientist,09-Apr-20
Machine Learning and Deployment Intern,09-Apr-20
,09-Apr-20
Campus Ambassador,08-Apr-20
Lab Manager,08-Apr-20
"Director, Artificial Intelligence",08-Apr-20
Fossasia Codeheat Contest Opensource Contribution,08-Apr-20
,08-Apr-20
Robotic Software Engineering Intern,08-Apr-20
Founder and CEO -AI Digital Transformation Solutions on Google Cloud ,08-Apr-20
Student Volunteer,08-Apr-20
Mentor,08-Apr-20
Product Management Intern,08-Apr-20
,08-Apr-20
Business Process Consultant,08-Apr-20
Researcher - Computational BPA,07-Apr-20
Senior Engineer,07-Apr-20
Data Scientist With Python and Machine Learning,07-Apr-20
Computer Vision Researcher,06-Apr-20
Intern,06-Apr-20
Content Lead & Innovation | Sales and Strategic Partnership,05-Apr-20
Software Engineer,05-Apr-20
Management Intern,05-Apr-20
Assistant System Engineer - Trainee,05-Apr-20
,05-Apr-20
"Advisor ,Data Science",04-Apr-20
Cybersecurity project,04-Apr-20
Senior Risk Engineer (Vice President),04-Apr-20
Operations Intern,04-Apr-20
NLP Engineer,04-Apr-20
Data Analyst,04-Apr-20
Manager - Risk Engineering (Property & Energy Division),03-Apr-20
Hardware Engineer 1,03-Apr-20
,03-Apr-20
Software Engineer Intern,03-Apr-20
,02-Apr-20
Chief Financial Officer,02-Apr-20
,02-Apr-20
,02-Apr-20
CEO,02-Apr-20
Senior Software Engineer,02-Apr-20
Data Scientist and Technology Consultant,01-Apr-20
Analytics Consultant - Machine Learning,01-Apr-20
Manager,01-Apr-20
Business Analyst,01-Apr-20
Software Engineer,31-Mar-20
Software Engineer,31-Mar-20
Amazon Alexa Student Influencer,31-Mar-20
Developer,30-Mar-20
Data Scientist,30-Mar-20
UI Designer,30-Mar-20
System Engineer,30-Mar-20
Intel Edge AI scholar,30-Mar-20
Cummunity Developer,30-Mar-20
Full Stack Developer ( Internship ),30-Mar-20
Content Writer,30-Mar-20
Google Explore ML Facilitator,30-Mar-20
Senior Machine Learning,30-Mar-20
FABY - Telepresence Robot,28-Mar-20
Sales Associate,28-Mar-20
Data & Image Processing Engineer,28-Mar-20
,28-Mar-20
Campus Ambassador,28-Mar-20
Data Analyst,28-Mar-20
Founder,28-Mar-20
Student,27-Mar-20
Deputy Manager-Grade 9-Data Scientist,27-Mar-20
Data Science Intern,26-Mar-20
,26-Mar-20
Machine learning and Computer Vision Engineer,26-Mar-20
Programmer Analyst,25-Mar-20
Frontend Web Developer,25-Mar-20
,25-Mar-20
Data Scientist,25-Mar-20
Digital Marketing Executive,25-Mar-20
Researcher ( Natural Language Processing ),25-Mar-20
Application Security Engineer,25-Mar-20
Python Developer,24-Mar-20
Web Developer,24-Mar-20
Principal Data Scientist,24-Mar-20
Software Development Engineer,23-Mar-20
,23-Mar-20
Azure Data Engineer(DataBricks Developer/PySpark Developer),23-Mar-20
,23-Mar-20
,23-Mar-20
Senior Engineer - Machine Learning,23-Mar-20
Business Analyst,23-Mar-20
Senior Business Analyst,23-Mar-20
Business Analyst,23-Mar-20
AVP - Data Scientist,23-Mar-20
Credit Risk Senior Associate,22-Mar-20
Applications Developer 2,22-Mar-20
Demonstrator,22-Mar-20
Head Casualty R&D Implementation,22-Mar-20
Vice President,22-Mar-20
Software Development Engineer II,22-Mar-20
,22-Mar-20
Campus Ambassador,22-Mar-20
,22-Mar-20
Microsoft Learn Beta Student Ambassador,22-Mar-20
Marketing Analytics Specialist,22-Mar-20
Amazon Web Services (AWS) Elastic Compute Cloud (EC2) Systems Development Manager,22-Mar-20
Independent Contractor,22-Mar-20
,21-Mar-20
Data Scientist,21-Mar-20
Will be soon but right now,20-Mar-20
Data Scientist,20-Mar-20
Chapter Manager,20-Mar-20
Group CEO,18-Mar-20
Data Science and Business Analytics ,18-Mar-20
Intern,18-Mar-20
Technical Lead,18-Mar-20
Founder | Image Consultant,18-Mar-20
Data Science Intern,18-Mar-20
,17-Mar-20
Manuscript Reviewer,16-Mar-20
Associate Software Engineer,16-Mar-20
Founder & CEO,16-Mar-20
,16-Mar-20
Co-founder and President,16-Mar-20
Head of Networking and Outreach,16-Mar-20
,16-Mar-20
,16-Mar-20
"Intern, R&D",16-Mar-20
Recruitment Specialist,16-Mar-20
Member,16-Mar-20
COO & Director of Operations,16-Mar-20
Senior Associate Consultant,16-Mar-20
,16-Mar-20
Talent Acquisition team,15-Mar-20
Computer Scientist,14-Mar-20
Paginator,14-Mar-20
,14-Mar-20
Community Manager,14-Mar-20
,14-Mar-20
Software Engineer,14-Mar-20
Business Analyst,14-Mar-20
Freelance,14-Mar-20
Business Communications | Content Writer,13-Mar-20
Blogger,13-Mar-20
Electrical Engineer-in-Training,13-Mar-20
Senior Program Manager (Artificial Intelligence & Machine Learning),13-Mar-20
Automation Developer,13-Mar-20
Mentor,13-Mar-20
Computer Vision Intern,13-Mar-20
,13-Mar-20
Senior Software Engineer,12-Mar-20
Data Engineer,12-Mar-20
Data Scientist,12-Mar-20
Computer Vision Engineer,12-Mar-20
Volunteer,11-Mar-20
Campus Business Manager ,11-Mar-20
Frontend Web Developer,11-Mar-20
Student Mentor,11-Mar-20
Data Scientist,11-Mar-20
Scrum Master and Software Development Team Lead,11-Mar-20
Visiting AI Researcher,10-Mar-20
Campus Lead : Scaler Achiever Club,10-Mar-20
Software Developer Engineer,10-Mar-20
Member,10-Mar-20
Advanced Analyst,10-Mar-20
Data Scientist,09-Mar-20
Mission Advocate,09-Mar-20
Community Volunteer,09-Mar-20
,09-Mar-20
Data Scientist,09-Mar-20
AssDecision science,09-Mar-20
Software Quality Assurance Intern,08-Mar-20
Software Engineer,08-Mar-20
Growth Manager,08-Mar-20
Product Manager,08-Mar-20
Frontend Developer,08-Mar-20
"Co-founder, Chief Operating Officer",08-Mar-20
,08-Mar-20
Senior Decision Analyst,08-Mar-20
Senior Cloud Solutions Architect,08-Mar-20
Vice President - Lending,07-Mar-20
Technical Head - Artificial Intelligence,07-Mar-20
"Lead Data Scientist, Credit Risk and Fraud Risk management ",07-Mar-20
